Date,Open,High,Low,Close,Adj Close,Volume
2023-03-14,15517.740234,15517.740234,15348.120117,15360.419922,15360.419922,3097800
2023-03-15,15425.990234,15526.730469,15387.589844,15387.589844,15387.589844,2998000
2023-03-16,15334.25,15334.25,15186.740234,15221.120117,15221.120117,3443900
2023-03-17,15337.969727,15452.959961,15337.969727,15452.959961,15452.959961,3434700
2023-03-20,15454.75,15488.980469,15399.070313,15419.969727,15419.969727,2433600
2023-03-21,15437.950195,15547.969727,15437.950195,15513.450195,15513.450195,2773500
2023-03-22,15535.169922,15760.459961,15535.169922,15760.459961,15760.459961,2773200
2023-03-23,15711.599609,15882.75,15680.839844,15863.950195,15863.950195,2652800
2023-03-24,15869.839844,15921.969727,15845.990234,15914.700195,15914.700195,2914300
2023-03-27,15873.669922,15902.05957,15821.629883,15830.30957,15830.30957,2706800
2023-03-28,15790.700195,15846.540039,15685.589844,15701.480469,15701.480469,2545400
2023-03-29,15766.290039,15811.200195,15681.099609,15769.759766,15769.759766,2376300
2023-03-30,15824.650391,15885.209961,15791.75,15849.429688,15849.429688,2266900
2023-03-31,15874.19043,15951.799805,15857.19043,15868.05957,15868.05957,2440300
2023-04-06,15838.070313,15838.070313,15733.290039,15810.769531,15810.769531,2513500
2023-04-07,15856.19043,15877.990234,15811.19043,15836.5,15836.5,2199900
2023-04-10,15850.94043,15919.759766,15850.94043,15876.169922,15876.169922,2220400
2023-04-11,15886.459961,15945.629883,15838.099609,15913.879883,15913.879883,2744200
2023-04-12,15914.150391,15944.320313,15867.019531,15932.969727,15932.969727,3138100
2023-04-13,15888.629883,15913.200195,15800.419922,15804.759766,15804.759766,3825100
2023-04-14,15854.25,15973.820313,15854.25,15929.429688,15929.429688,3492400
2023-04-17,15934.639648,15963.549805,15894.769531,15963.549805,15963.549805,3396900
2023-04-18,15967.889648,15967.889648,15851.709961,15869.44043,15869.44043,3344600
2023-04-19,15874.650391,15915.389648,15756.75,15770.469727,15770.469727,3554800
2023-04-20,15771.450195,15804.379883,15686.540039,15707.519531,15707.519531,3170900
2023-04-21,15776.540039,15802.929688,15592.959961,15602.990234,15602.990234,3512500
2023-04-24,15555.099609,15643.860352,15529.389648,15626.870117,15626.870117,2474500
2023-04-25,15606.830078,15639.490234,15353.219727,15370.730469,15370.730469,3449300
2023-04-26,15352.030273,15398.400391,15284.459961,15374.629883,15374.629883,2745800
2023-04-27,15374.389648,15455.879883,15306.69043,15411.490234,15411.490234,2616700
2023-04-28,15477.339844,15580.629883,15477.339844,15579.179688,15579.179688,2999300
2023-05-02,15588.679688,15651.230469,15532.629883,15636.480469,15636.480469,2915700
2023-05-03,15629.509766,15629.509766,15530.790039,15553.410156,15553.410156,2511600
2023-05-04,15548.019531,15622.410156,15523.5,15609.030273,15609.030273,2461600
2023-05-05,15627.929688,15673.620117,15578.669922,15626.070313,15626.070313,2294100
2023-05-08,15648.540039,15757.799805,15648.540039,15699.570313,15699.570313,2829600
2023-05-09,15702.259766,15744.269531,15635.900391,15727.700195,15727.700195,2864700
2023-05-10,15708.480469,15711.389648,15579.490234,15641.759766,15641.759766,2366700
2023-05-11,15666.490234,15675.370117,15501.580078,15514.639648,15514.639648,2769100
2023-05-12,15477.120117,15545.990234,15424.419922,15502.360352,15502.360352,2711900
2023-05-15,15489.179688,15510.089844,15434.519531,15475.049805,15475.049805,2444700
2023-05-16,15550.570313,15723.950195,15550.570313,15673.900391,15673.900391,2617800
2023-05-17,15702.740234,15961.969727,15698.629883,15925.290039,15925.290039,3099200
2023-05-18,16060.259766,16128.719727,16015.620117,16101.879883,16101.879883,3379800
2023-05-19,16146.290039,16189.80957,16099.900391,16174.919922,16174.919922,3955600
2023-05-22,16168.740234,16202.919922,16131.549805,16180.889648,16180.889648,3311200
2023-05-23,16186.150391,16239.5,16121.450195,16188.030273,16188.030273,3041900
2023-05-24,16186.620117,16186.620117,16070.160156,16159.320313,16159.320313,2938400
2023-05-25,16163.950195,16323.769531,16163.950195,16292,16292,3551900
2023-05-26,16509.140625,16537.789063,16457.740234,16505.050781,16505.050781,3981600
2023-05-29,16610.859375,16683.759766,16597.380859,16636.300781,16636.300781,3879200
2023-05-30,16648.769531,16681.189453,16579.130859,16622.740234,16622.740234,3645500
2023-05-31,16593.529297,16636.650391,16491.900391,16578.960938,16578.960938,5023700
2023-06-01,16511,16555.5,16477.429688,16512.650391,16512.650391,3888600
2023-06-02,16525,16752.199219,16525,16706.910156,16706.910156,4585600
2023-06-05,16714.480469,16781.189453,16703.599609,16714.429688,16714.429688,4575100
2023-06-06,16712.980469,16793.810547,16699.830078,16761.660156,16761.660156,3861900
2023-06-07,16771.759766,16922.480469,16771.759766,16922.480469,16922.480469,3721800
2023-06-08,16864.179688,16899.509766,16694.210938,16733.689453,16733.689453,3859300
2023-06-09,16775.919922,16895.990234,16775.919922,16886.400391,16886.400391,3598000
2023-06-12,16899.490234,16999.720703,16899.490234,16955.369141,16955.369141,3731500
2023-06-13,17135.839844,17254.960938,17129.230469,17216.599609,17216.599609,3764800
2023-06-14,17190.699219,17259.230469,17182.179688,17238.140625,17238.140625,4290400
2023-06-15,17259.369141,17346.320313,17259.369141,17334.980469,17334.980469,4893200
2023-06-16,17342.859375,17342.859375,17250.789063,17288.910156,17288.910156,6203100
2023-06-19,17274.070313,17306.810547,17210.869141,17274.560547,17274.560547,4654400
2023-06-20,17233.800781,17247.160156,17121.589844,17184.910156,17184.910156,4185300
2023-06-21,17186.720703,17246.769531,17131.449219,17202.400391,17202.400391,4354900
2023-06-26,17182.480469,17182.480469,17011.279297,17059.240234,17059.240234,3970000
2023-06-27,17022.150391,17035.490234,16887.900391,16887.900391,16887.900391,4028700
2023-06-28,16906.230469,17011.119141,16903.710938,16935.630859,16935.630859,3256100
2023-06-29,16930.410156,17077.439453,16911.380859,16942.300781,16942.300781,3357100
2023-06-30,16870.269531,16919.949219,16792.339844,16915.539063,16915.539063,3542500
2023-07-03,16915.539063,17103.730469,16915.539063,17084.199219,17084.199219,3930600
2023-07-04,17084.199219,17154.099609,17042.599609,17140.769531,17140.769531,4436200
2023-07-05,17140.769531,17153.169922,17020.009766,17056.429688,17056.429688,4153400
2023-07-06,17056.429688,17056.429688,16749.289063,16762.169922,16762.169922,4369600
2023-07-07,16762.169922,16762.390625,16593.839844,16664.210938,16664.210938,3783700
2023-07-10,16664.210938,16798.810547,16635.830078,16652.800781,16652.800781,3379500
2023-07-11,16675.689453,16898.910156,16675.689453,16898.910156,16898.910156,3940800
2023-07-12,16903.25,16962.029297,16864.009766,16962.029297,16962.029297,4067700
2023-07-13,16994.589844,17223.859375,16994.589844,17061.400391,17061.400391,4859500
2023-07-14,17152.810547,17287.400391,17128.070313,17283.710938,17283.710938,4457500
2023-07-17,17279.109375,17346.660156,17235.919922,17334.289063,17334.289063,4827400
2023-07-18,17368.359375,17401.589844,17164.919922,17227.910156,17227.910156,6165200
2023-07-19,17265.380859,17340.820313,17082.539063,17116.439453,17116.439453,4897100
2023-07-20,17104.910156,17214.410156,17098.650391,17164.890625,17164.890625,3659100
2023-07-21,17106.289063,17106.289063,16859.130859,17030.699219,17030.699219,4256500
2023-07-24,17036.789063,17098.730469,16941.150391,17033.609375,17033.609375,4044800
2023-07-25,17061.880859,17270.199219,17061.880859,17198.890625,17198.890625,3822600
2023-07-26,17205.470703,17247.019531,17121.990234,17162.550781,17162.550781,4140400
2023-07-27,17189.300781,17282.859375,17189.300781,17241.820313,17241.820313,4509600
2023-07-28,17244.509766,17328.210938,17179.939453,17292.929688,17292.929688,4184900
2023-07-31,17341.039063,17463.759766,17081.480469,17145.429688,17145.429688,5016000
2023-08-01,17141.970703,17252.320313,17095.859375,17212.869141,17212.869141,3848500
